species;threat
Gymnocypris przewalskii;NA
Gymnotichthys hildae;NA
Halichoeres erdmanni;NA
Hapalogenys analis;NA
Haplochromis adolphifrederici;NA
Haplochromis astatodon;NA
Haplochromis paludinosus;LC
Haplotaxodon trifasciatus;NA
Hara filamentosa;NA
Hara hara;LC
Hara horai;LC
Hara jerdoni;LC
Hedinichthys macropterus;NA
Hedinichthys yarkandensis;NA
Hemiancistrus hammarlundi;NA
Hemiancistrus megacephalus;NA
Hemiarius dioctes;NA
Hemiarius harmandi;NA
Hemiarius verrucosus;NA
Hemibagrus chrysops;NA
Hemibagrus furcatus;NA
Hemibarbus medius;NA
Hemibarbus mylodon;NA
Hemichromis guttatus;NA
Hemiculter bleekeri;NA
Hemiculter varpachovskii;NA
Hemigrammus lunatus;LC
Hemigrammus newboldi;NA
Hemimyzon formosanus;NA
Hemimyzon megalopseos;NA
Hemiramphus far;NA
Hemisalanx brachyrostralis;NA
Henicorhynchus lineatus;LC
Henicorhynchus lobatus;LC
Henicorhynchus ornatipinnis;LC
Henicorhynchus siamensis;LC
Herzensteinia microcephalus;NA
Heterobranchus boulengeri;NA
Hippopotamyrus weeksii;NA
Hisonotus depressinotus;NA
Homaloptera indochinensis;NA
Homaloptera vulgaris;DD
Homaloptera zollingeri;LC
Homatula potanini;NA
Homatula variegata;NA
Homatula wujiangensis;NA
Hoplias macrophthalmus;NA
Horalabiosa joshuai;EN
Hyphessobrycon milleri;NA
Hyphessobrycon sovichthys;NA
Hypobrycon leptorhynchus;NA
Hypobrycon maromba;NA
Hyporhamphus gernaerti;NA
Hyporhamphus intermedius;NA
Hyporhamphus melanochir;NA
Hyporhamphus sajori;NA
Hypostomus corantijni;LC
Hypostomus cordovae;NA
Hypostomus gymnorhynchus;LC
Hypostomus lexi;NA
Hypostomus surinamensis;NA
Hypostomus tapanahoniensis;LC
Hypostomus ventromaculatus;NA
Hypseleotris guentheri;NA
Hypseleotris tohizonae;NA
Hypsophrys nematopus;NT
Iberocypris palaciosi;CR
Ictalurus balsanus;NA
Ictalurus dugesii;NA
Iksookimia hugowolfeldi;NA
Iksookimia koreensis;NA
Iksookimia longicorpa;NA
Ilyodon xantusi;NA
Imparfinis parvus;NA
Interochromis loocki;LC
Iodotropheus declivitas;VU
Iranocichla hormuzensis;NA
Irvineia orientalis;NA
Ituglanis eichorniarum;NA
Ituglanis gracilior;NA
Ituglanis nebulosus;NA
Ixinandria steinbachi;NA
Jaydia melanopus;NA
Jenynsia lineata;LC
Jinshaia abbreviata;NA
Jinshaia sinensis;NA
Jordanella floridae;NA
Ketengus typus;NA
Knipowitschia punctatissima;NT
Knodus caquetae;NA
Koreocobitis naktongensis;NA
Kryptolebias sepia;NA
Kryptopterus cheveyi;DD
Kryptopterus sabanus;LC
Labeo mokotoensis;NA
Labeo yunnanensis;NA
Labeobarbus brevicephalus;NA
Labeobarbus capensis;EN
Labeobarbus johnstonii;LC
Labiobarbus lineatus;NA
Lactarius lactarius;NA
Lacustricola mediolateralis;LC
Lacustricola nigrolateralis;DD
Lacustricola omoculatus;VU
Lacustricola usanguensis;VU
Laemolyta nitens;NA
Laimosemion breviceps;NA
Laimosemion corpulentus;NA
Laimosemion frenatus;NA
Laimosemion torrenticola;NA
Lamprologus meleagris;NA
Lamprologus speciosus;NA
Lamprologus stappersi;NA
Leiocassis longibarbus;NA
Leiocassis saravacensis;NA
Leiognathus brevirostris;NA
Lentipes multiradiatus;NA
Leporinus alternus;NA
Leporinus nattereri;NA
Leporinus pellegrinii;NA
Leporinus punctatus;NA
Leporinus steyermarki;NA
Leporinus uatumaensis;NA
Leptatherina wallacei;NA
Leptobotia orientalis;NA
Leptomelanosoma indicum;NA
Leptosynanceia asteroblepa;NA
Lepturacanthus savala;NA
Lethrinops oculatus;VU
Liobagrus formosanus;NA
Liobagrus marginatoides;NA
Liza argentea;NA
Liza tricuspidens;NA
Lobocheilos cryptopogon;NA
Lobocheilos davisi;NA
Lobocheilos delacouri;NA
Lobocheilos gracilis;NA
Lobocheilos nigrovittatus;NA
Lobocheilos quadrilineatus;NA
Lophiobagrus asperispinis;NA
Loricaria lentiginosa;NA
Lutjanus goldiei;NA
Macquaria novemaculeata;NA
Macrognathus caudiocellatus;NA
Macrognathus taeniagaster;NA
Malapterurus tanganyikaensis;NT
Malapterurus thysi;NT
Marcusenius nyasensis;NA
Mastacembelus catchpolei;NA
Mastacembelus congicus;LC
Mastacembelus frenatus;LC
Mastacembelus marchei;NA
Mastacembelus stappersii;LC
Mastacembelus trispinosus;NA
Maylandia aurora;LC
Maylandia barlowi;LC
Maylandia benetos;NT
Maylandia callainos;LC
Maylandia chrysomallos;NT
Maylandia cyneusmarginata;NT
Maylandia emmiltos;LC
Maylandia estherae;LC
Maylandia greshakei;NT
Maylandia hajomaylandi;LC
Maylandia lanisticola;LC
Maylandia lombardoi;LC
Maylandia mbenjii;LC
Maylandia melabranchion;LC
Maylandia phaeos;LC
Maylandia pursa;LC
Maylandia pyrsonotos;LC
Maylandia sandaracinos;LC
Maylandia thapsinogen;LC
Maylandia xanstomachus;NT
Maylandia zebra;LC
Megalobrama elongata;NA
Megalobrama terminalis;NA
Megarasbora elanga;LC
Mesobola moeruensis;LC
Mesogobio lachneri;NA
Metaschistura cristata;NA
Micronema moorei;NA
Microphilypnus amazonicus;NA
Microphysogobio brevirostris;NA
Microphysogobio elongatus;NA
Microphysogobio linghensis;NA
Microphysogobio longidorsalis;NA
Microphysogobio microstomus;NA
Micropoecilia bifurca;NA
Micropoecilia branneri;NA
Micropogonias megalops;LC
Micropterus floridanus;NA
Microthrissa congica;LC
Microthrissa moeruensis;VU
Misgurnus mizolepis;NA
Moenkhausia doceana;NA
Moenkhausia miangi;NA
Monopterus cuchia;LC
Moolgarda cunnesius;NA
Mormyrus casalis;NA
Mugilogobius myxodermus;NA
Myleus schomburgkii;NA
Mylochromis semipalatus;LC
Myripristis robusta;NA
Mystus armiger;NA
Myxus elongatus;NA
Nannacara adoketa;NA
Nannacara bimaculata;NA
Nemacheilus oxianus;NA
Nemacheilus triangularis;LC
Nemapteryx caelata;NA
Nemapteryx macronotacantha;NA
Nemuroglanis panamensis;LC
Neoarius latirostris;LC
Neofundulus ornatipinnis;NA
Neolamprologus bifasciatus;NA
Neolamprologus cylindricus;NA
Neolamprologus helianthus;NA
Neolamprologus longicaudatus;NA
Neolamprologus marunguensis;NA
Neolamprologus nigriventris;NA
Neolamprologus pectoralis;NA
Neolamprologus similis;NA
Neolamprologus variostigma;NA
Neolamprologus ventralis;NA
Neosalanx oligodontis;NA
Neosalanx pseudotaihuensis;NA
Neosalanx taihuensis;NA
Netuma bilineata;NA
Netuma proxima;NA
Nezumia bairdii;NA
Nicholsicypris normalis;NA
Niwaella delicata;LC
Niwaella multifasciata;NA
Nothobranchius orthonotus;LC
Nothobranchius thierryi;LC
Nuchequula blochii;NA
Ochmacanthus batrachostomus;NA
Ochmacanthus flabelliferus;NA
Odontamblyopus lacepedii;NA
Odontesthes argentinensis;NA
Odontesthes nigricans;NA
Odontesthes smitti;NA
Odontobutis interrupta;NA
Odontobutis platycephala;NA
Odontostilbe littoris;NA
Oedalechilus labeo;NA
Oedalechilus labiosus;NA
Olivaichthys cuyanus;NA
Olivaichthys mesembrinus;NA
Ompok jaynei;NA
Oncorhynchus aguabonita;NA
Onychostoma daduense;NA
Ophiocara porocephala;LC
Oplegnathus conwayi;NA
Opsariichthys pachycephalus;NA
Opsariichthys uncirostris;NA
Oreochromis aureus;NA
Oreochromis saka;NA
Orestias agassizii;NA
Orestias minimus;NA
Orestias mundus;NA
Orestias robustus;NA
Osteobrama bhimensis;NA
Osteochilus sondhii;NA
Ostorhinchus compressus;LC
Ostorhinchus neotes;LC
Ostorhinchus taeniophorus;NA
Oxuderces wirzi;NA
Oxynoemacheilus kermanshahensis;NA
Oxynoemacheilus persa;NA
Pampus argenteus;NA
Paracanthobrama guichenoti;NA
Parachromis loisellei;NA
Paracobitis longicauda;NA
Paracobitis malapterura;NA
Paralaubuca stigmabrachium;NA
Paraleucogobio notacanthus;NA
Paramisgurnus dabryanus;NA
Paranotothenia magellanica;NA
Paraprotomyzon lungkowensis;NA
Paraprotomyzon multifasciatus;NA
Pararasbora moltrechti;NA
Pararhinichthys bowersi;NA
Paraschistura kessleri;LC
Paraschistura montana;NA
Parastegophilus maculatus;NA
Parastegophilus paulensis;NA
Parator zonatus;NA
Pareuchiloglanis anteanalis;NA
Pareuchiloglanis sinensis;NA
Pelates quadrilineatus;NA
Pelteobagrus eupogon;NA
Pelteobagrus intermedius;LC
Pelteobagrus ussuriensis;NA
Pempheris schwenkii;NA
Percichthys colhuapiensis;NA
Percocypris regani;NA
Periophthalmus modestus;NA
Petroleuciscus persidis;NA
Pharyngochromis darlingi;NA
Phoxinus grumi;NA
Phoxinus jouyi;NA
Phoxinus kumgangensis;NA
Phoxinus semotilus;NA
Phyllonemus brichardi;NA
Physoschistura brunneana;NA
Piabucina astrigata;LC
Piabucina aureoguttata;LC
Piabucina boruca;VU
Piabucina elongata;LC
Piabucina erythrinoides;LC
Piabucina festae;LC
Piabucina panamensis;LC
Piabucina unitaeniata;NA
Pimelodella pallida;NA
Pimelodus brevis;NA
Placidochromis subocularis;LC
Platycephalus bassensis;NA
Platycephalus fuscus;NA
Platycephalus richardsoni;NA
Platycephalus speculator;NA
Platypanchax modestus;LC
Platypharodon extremus;NA
Platysilurus malarmo;NA
Platysmacheilus longibarbatus;NA
Platysmacheilus nudiventris;NA
Plesiops verecundus;NA
Pnictes asphyxiatus;DD
Poecilia catemaconis;NA
Polydactylus macrochir;NA
Polydactylus plebeius;NA
Polydactylus sextarius;NA
Polynemus bidentatus;NA
Pomacentrus bintanensis;NA
Ponticola rhodioni;NA
Poropuntius chondrorhynchus;NA
Poropuntius huguenini;DD
Poropuntius rhomboides;NA
Poropuntius scapanognathus;NA
Poropuntius smedleyi;NA
Pristobrycon calmoni;NA
Pristobrycon maculipinnis;NA
Pristobrycon striolatus;NA
Prochilodus reticulatus;NA
Prolatilus jugularis;NA
Prosopium abyssicola;NA
Prosopium gemmifer;NA
Prosopium spilonotus;NA
Protomelas dejunctus;VU
Protomelas spilopterus;LC
Protosalanx hyalocranius;NA
Psammoperca waigiensis;NA
Pseudancistrus longispinis;NA
Pseudancistrus niger;NA
Pseudancistrus orinoco;NA
Pseudanos irinae;NA
Pseudecheneis sulcatoides;NA
Pseudobagarius sinensis;NA
Pseudobagrus albomarginatus;NA
Pseudobagrus analis;NA
Pseudobagrus aurantiacus;NA
Pseudobagrus brevianalis;NA
Pseudobagrus brevicaudatus;NA
Pseudobagrus crassilabris;NA
Pseudobagrus koreanus;NA
Pseudobagrus medianalis;CR
Pseudobagrus pratti;NA
Pseudobagrus taeniatus;NA
Pseudobagrus tenuifurcatus;NA
Pseudobagrus tenuis;NA
Pseudobagrus trilineatus;NA
Pseudobagrus truncatus;NA
Pseudobagrus vachellii;DD
Pseudobrama simoni;NA
Pseudochromis ransonneti;NA
Pseudogastromyzon peristictus;NA
Pseudogobio esocinus;NA
Pseudophoxinus battalgilae;LC
Pseudophoxinus callensis;DD
Pseudopimelodus pulcher;NA
Pseudopungtungia tenuicorpus;NA
Pseudotropheus fainzilberi;LC
Pseudotropheus fuscoides;DD
Pseudotrypauchen multiradiatus;NA
Pterocryptis torrentis;NA
Pterygoplichthys ambrosettii;LC
Pungtungia herzi;NA
Puntius bramoides;NA
Puntius lateristriga;LC
Puntius sealei;LC
Puntius spilopterus;NA
Rachovia brevis;NA
Rachovia hummelincki;NA
Rasbora dorsinotata;NA
Rasbora hobelmani;NA
Rasbosoma spilocerca;LC
Rectoris posehensis;NA
Redigobius macrostoma;NA
Redigobius nanus;NA
Repomucenus olidus;NA
Rhamphichthys marmoratus;NA
Rhamphochromis lucius;LC
Rhamphochromis macrophthalmus;LC
Rhinichthys cobitis;VU
Rhinogobio cylindricus;NA
Rhinogobio nasutus;NA
Rhinogobio typus;NA
Rhinogobio ventralis;NA
Rhinogobius cliffordpopei;NA
Rhinogobius flumineus;NA
Rhinogobius rubromaculatus;NA
Rhinogobius similis;NA
Rhombosolea tapirina;NA
Rhynchopelates oxyrhynchus;NA
Rineloricaria hoehnei;NA
Roeboexodon geryi;NA
Roeboides prognathus;NA
Romanogobio persus;NA
Rostrogobio liaohensis;NA
Rutilus kutum;NA
Rutilus prespensis;LC
Sabanejewia caspia;NA
Salanx ariakensis;NA
Salanx prognathus;NA
Salmo caspius;NA
Sarcocheilichthys davidi;NA
Saurogobio dumerili;NA
Saurogobio gracilicaudatus;NA
Saurogobio gymnocheilus;NA
Saurogobio xiangjiangensis;NA
Schilbe durinii;NA
Schistura baluchiorum;NA
Schistura prashadi;VU
Schizopyge niger;NA
Schizopygopsis kessleri;NA
Schizopygopsis stoliczkai;NA
Schizothorax cryptolepis;NA
Schizothorax curvifrons;LC
Schizothorax dulongensis;NA
Sciades paucus;LC
Sciades proops;NA
Sciades sona;NA
Scleronema angustirostre;NA
Scombrops boops;NA
Scorpis aequipinnis;NA
Secutor ruconius;NA
Sicydium salvini;NA
Sicyopterus japonicus;NA
Sillaginodes punctatus;NA
Sillaginopsis panijus;NA
Sillago flindersi;NA
Sillago maculata;NA
Sillago robusta;NA
Silurus biwaensis;NA
Silurus microdorsalis;NA
Simpsonichthys alternatus;NA
Simpsonichthys constanciae;VU
Simpsonichthys delucai;NA
Simpsonichthys multiradiatus;NA
Simpsonichthys rufus;NA
Simpsonichthys similis;NA
Simpsonichthys stellatus;NA
Simpsonichthys trilineatus;NA
Sinibotia reevesae;NA
Sinibrama taeniatus;NA
Sinibrama wui;NA
Sinilabeo cirrhinoides;NA
Sinilabeo longibarbatus;NA
Sinocyclocheilus angustiporus;NA
Sinocyclocheilus malacopterus;NA
Sinocyclocheilus multipunctatus;NA
Siphamia cephalotes;NA
Skiffia bilineata;EN
Sorubim cuspicaudus;NA
Spinibarbus sinensis;NA
Squalidus nitens;NA
Squaliforma horrida;LC
Squaliforma scopularia;LC
Squaliforma squalina;LC
Squaliforma tenuicauda;LC
Squaliforma virescens;LC
Squalius aphipsi;LC
Squalius ghigii;VU
Squalius ulanus;NA
Stegostenopos cryptogenes;NA
Steindachnerina varii;NA
Sternarchella schotti;LC
Sternarchogiton preto;NA
Stigmatogobius pleurostigma;NA
Stigmatogobius sadanundio;NA
Stolephorus insularis;DD
Strongylura incisa;NA
Strongylura leiura;NA
Strongylura strongylura;NA
Sturisoma aureum;DD
Sturisoma dariense;EN
Sturisoma panamense;LC
Synaptolaemus cingulatus;NA
Synaptura salinarum;LC
Synechogobius ommaturus;NA
Systomus clavatus;NT
Systomus jacobusboehlkei;LC
Systomus orphoides;NA
Tachysurus nudiceps;NA
Taenioides nigrimarginatus;NA
Tanakia himantegus;NA
Tanakia lanceolata;NA
Tasmanogobius lordi;NA
Teleogramma depressa;NT
Telmatochromis brichardi;NA
Terapon puta;NA
Thoracochromis bakongo;LC
Thoracochromis demeusii;VU
Thoracochromis fasciatus;VU
Thoracochromis lucullae;LC
Thoracochromis moeruensis;VU
Thoracochromis schwetzi;VU
Thymallus baicalensis;NA
Thymallus brevirostris;NA
Thymallus nigrescens;NA
Thymallus yaluensis;NA
Thyrsites atun;NA
Tilapia congica;LC
Tilapia rheophila;NA
Tor douronensis;NA
Tor putitora;EN
Toxabramis swinhonis;NA
Trichomycterus castroi;NA
Trichomycterus concolor;NA
Trichomycterus davisi;NA
Trichomycterus diabolus;NA
Trichomycterus dorsostriatum;NA
Trichomycterus guianense;NA
Trichomycterus mondolfi;NA
Trichomycterus paolence;NA
Trichomycterus pseudosilvinichthys;NA
Trichomycterus stawiarski;LC
Trichomycterus variegatus;NA
Trichomycterus zonatus;NA
Tridentiger barbatus;NA
Triplophysa aliensis;NA
Triplophysa alticeps;NA
Triplophysa angeli;NA
Triplophysa bleekeri;NA
Triplophysa bombifrons;NA
Triplophysa brachyptera;NA
Triplophysa brevicauda;NA
Triplophysa chondrostoma;NA
Triplophysa daqiaoensis;NA
Triplophysa ladacensis;NA
Triplophysa leptosoma;NA
Triplophysa markehenensis;NA
Triplophysa microphthalma;NA
Triplophysa minuta;NA
Triplophysa ninglangensis;NA
Triplophysa obscura;NA
Triplophysa pseudoscleroptera;NA
Triplophysa robusta;NA
Triplophysa rotundiventris;NA
Triplophysa scleroptera;NA
Triplophysa tenuis;NA
Triplophysa wuweiensis;NA
Triplophysa zamegacephala;NA
Triportheus elongatus;NA
Triportheus paranensis;NA
Tropheops lucerna;LC
Tropheus polli;NA
Typhliasina pearsei;NT
Tyrannochromis maculiceps;NA
Tyrannochromis polyodon;NA
Urophycis brasiliensis;NA
Valamugil speigleri;NA
Vanmanenia lineata;NA
Vanmanenia stenosoma;NA
Vanmanenia xinyiensis;NA
Variabilichromis moorii;LC
Varicorhinus maroccanus;DD
Wallago leerii;LC
Wallago maculatus;NA
Xenocharax spilurus;NA
Xenocypris davidi;NA
Xenophysogobio boulengeri;NA
Xenophysogobio nudicorpa;NA
Xenotilapia bathyphila;LC
Xenotilapia papilio;NA
Xenotilapia rotundiventralis;NA
Xyliphius barbatus;NT
Yunnanilus sichuanensis;NA
Zacco chengtui;NA
Zacco taliensis;NA
Zebrias zebra;NA
