"Species","Fisheries","Aquaculture","Aquarium","Game fish","Bait","Ui","Non uses"
"Aluterus monoceros",0,0,0,0,0,0.0709951605925723,1
"Aluterus scriptus",0,0,0,0,0,0.0709951605925723,1
"Amaralia hypsiura",0,0,0,0,0,0.0618201503392275,1
"Amarginops platus",0,0,0,0,0,0.47821164809716,1
"Amatitlania nigrofasciata",0,0,1,0,0,0.299146778771859,0
"Amazonsprattus scintilla",0,0,0,0,0,1.04112858592208,1
"Ambassis agassizii",0,0,1,0,0,0.237907347795303,0
"Ambassis agrammus",0,0,0,0,0,0.439058035972389,1
"Ambassis ambassis",0,0,0,0,0,0.229427265144142,1
"Ambassis buruensis",0,0,0,0,0,0.261593686825436,1
"Ambassis dussumieri",0,0,0,0,0,0.132142691000908,1
"Ambassis elongata",0,0,1,0,0,0.0443692281847781,0
"Ambassis gymnocephalus",0,0,0,0,1,0.316896638982962,0
"Ambassis interrupta",0,0,0,0,0,0.470130220607965,1
"Ambassis jacksoniensis",0,0,0,0,0,0.100495856247772,1
"Ambassis kopsii",1,0,0,0,0,0.220833820431316,0
"Ambassis macleayi",1,0,1,0,0,0.409167905775385,0
"Ambassis marianus",0,0,0,0,0,0.201743947155751,1
"Ambassis miops",0,0,0,0,0,0.372577184607769,1
"Ambassis natalensis",0,0,1,0,1,0.307612304636648,0
"Ambassis urotaenia",0,0,0,0,0,0.575577565240163,1
"Ambassis vachellii",0,0,0,0,0,0.1203057454582,1
"Ambastaia nigrolineata",0,0,0,0,0,0.328521874053687,1
"Ambastaia sidthimunki",1,0,1,0,0,0.34766358702088,0
"Ambloplites ariommus",0,0,0,0,0,0.32419612148113,1
"Ambloplites cavifrons",0,0,0,0,0,0.203208700824764,1
"Ambloplites constellatus",0,0,0,0,0,0.356983397313334,1
"Ambloplites rupestris",0,0,0,1,0,0.243818412107015,0
"Amblyceps caecutiens",0,0,0,0,0,0.764515437374014,1
"Amblyceps foratum",0,0,0,0,0,0.883073750141222,1
"Amblyceps mangois",0,0,0,0,0,0.356726991861033,1
"Amblyceps platycephalus",0,0,0,0,0,0.285898769670637,1
"Amblyceps serratum",0,0,0,0,0,0.346078580532216,1
"Amblycirrhitus bimacula",0,0,0,0,0,0.242910822532093,1
"Amblydoras affinis",0,0,0,0,0,0.123912170903005,1
"Amblydoras bolivarensis",0,0,0,0,0,0.294393002516262,1
"Amblydoras gonzalezi",0,0,0,0,0,0.419359118569295,1
"Amblydoras monitor",0,0,0,0,0,0.330455266297186,1
"Amblydoras nauticus",0,0,0,0,0,0.220672743318837,1
"Amblyeleotris diagonalis",0,0,0,0,0,0.119079053611024,1
"Amblyeleotris downingi",0,0,0,0,0,0.137636978834871,1
"Amblyeleotris gymnocephala",0,0,0,0,0,0.0745302446109486,1
"Amblyeleotris latifasciata",0,0,0,0,0,0.112983617710912,1
"Amblyeleotris periophthalma",0,0,0,0,0,0.101363088626375,1
"Amblyglyphidodon curacao",0,0,0,0,0,0,1
"Amblyglyphidodon leucogaster",0,0,0,0,0,0,1
"Amblygobius phalaena",0,0,0,0,0,0.0925813466288588,1
"Amblypharyngodon atkinsonii",0,0,0,0,0,0.116796887536298,1
"Amblypharyngodon chulabhornae",0,0,0,0,0,0.144904925218461,1
"Amblypharyngodon melettinus",0,0,0,0,0,0.309922714053125,1
"Amblypharyngodon microlepis",0,0,1,0,0,0.378853864921824,0
"Amblypharyngodon mola",0,0,0,0,0,0.25408725090227,1
"Amblyrhynchichthys micracanthus",0,0,0,0,0,0.180155594615957,1
"Amblyrhynchichthys truncatus",0,0,0,0,0,0.211582798929354,1
"Ameca splendens",0,0,1,0,0,0.197140092679124,0
"Ameiurus brunneus",0,0,0,0,0,0.426718801059308,1
"Ameiurus catus",0,0,0,1,0,0.28761900235381,0
"Ameiurus melas",1,1,0,1,0,0.259236349704427,0
"Ameiurus natalis",0,0,0,1,0,0.665108356283188,0
"Ameiurus nebulosus",0,1,0,1,0,0.345025710443021,0
"Ameiurus platycephalus",0,0,0,0,0,0.235868816330973,1
"Ameiurus serracanthus",0,0,0,0,0,0.28271557577732,1
"Amia calva",0,0,0,1,0,0.46732466795141,0
"Ammocrypta beanii",0,0,0,0,0,0.191022046146372,1
"Ammocrypta bifascia",0,0,0,0,0,0.495672150381704,1
"Ammocrypta clara",0,0,0,0,0,0.409614903447776,1
"Ammocrypta meridiana",0,0,0,0,0,0.344941928324132,1
"Ammocrypta pellucida",0,0,0,0,0,0.244819920936707,1
"Ammocrypta vivax",0,0,0,0,0,0.690204500799628,1
"Ammocryptocharax elegans",0,0,0,0,0,0.986067632135766,1
"Ammocryptocharax lateralis",0,0,0,0,0,0.288257315785516,1
"Ammocryptocharax minutus",0,0,0,0,0,0.375828666547241,1
"Ammocryptocharax vintonae",0,0,0,0,0,0.298161913129342,1
"Ammodytes americanus",0,0,0,0,0,0.47222758650406,1
"Ammoglanis diaphanus",0,0,0,0,0,0.261902307505205,1
"Ammoglanis pulex",0,0,0,0,0,0.36200403603565,1
"Amniataba caudavittata",0,0,0,0,0,0.202582321402741,1
"Amniataba percoides",1,0,1,0,0,0.368356598611392,0
"Amphilius atesuensis",0,0,0,0,0,0.368313335309671,1
"Amphilius cryptobullatus",0,0,0,0,0,0.521859056950353,1
"Amphilius jacksonii",0,0,0,0,0,0.132616303783594,1
"Amphilius kakrimensis",0,0,0,0,0,0.337821821252567,1
"Amphilius kivuensis",0,0,0,0,0,0.401497113261234,1
"Amphilius lamani",0,0,0,0,0,0.218159162626761,1
"Amphilius longirostris",0,0,0,0,0,0.587116221941,1
"Amphilius maesii",0,0,0,0,0,0.124108700494273,1
"Amphilius natalensis",1,0,0,0,0,0.325752848364159,0
"Amphilius opisthophthalmus",0,0,0,0,0,0.473007231597847,1
"Amphilius platychir",0,0,0,0,0,0.292583101822434,1
"Amphilius rheophilus",0,0,0,0,0,0.527108936300613,1
"Amphilius uranoscopus",0,0,0,0,0,0.389336369291029,1
"Amphilius zairensis",0,0,0,0,0,0.214341189925748,1
"Amphilophus alfari",0,0,0,0,0,0.406712014769905,1
"Amphilophus altifrons",0,0,0,0,0,0.411640115424039,1
"Amphilophus amarillo",0,0,0,0,0,0.21298222283702,1
"Amphilophus bussingi",0,0,0,0,0,0.184246071291079,1
"Amphilophus calobrensis",0,0,0,0,0,0.289337821932035,1
"Amphilophus citrinellus",0,0,1,0,0,0.469948080833517,0
"Amphilophus diquis",0,0,0,0,0,0.198358313465498,1
"Amphilophus hogaboomorum",0,0,0,0,0,0.343261049546457,1
"Amphilophus labiatus",1,0,1,0,0,0.369989997257959,0
"Amphilophus longimanus",0,0,0,0,0,0.580493207813629,1
"Amphilophus lyonsi",0,0,0,0,0,0.136457137617226,1
"Amphilophus macracanthus",0,0,0,0,0,0.141953317006871,1
"Amphilophus nourissati",0,0,0,0,0,0.367306339582337,1
"Amphilophus rhytisma",0,0,0,0,0,0.193438072089281,1
"Amphilophus robertsoni",0,0,0,0,0,0.389217664861813,1
"Amphilophus rostratus",0,0,0,0,0,0.194662502604204,1
"Amphilophus xiloaensis",0,0,0,0,0,0.289828456282987,1
"Amphilophus zaliosus",0,0,1,0,0,0.357557997514432,0
"Amphiprion akallopisos",0,0,0,0,0,0.0539306877978674,1
"Amphiprion frenatus",0,0,0,0,0,0,1
"Anabarilius alburnops",0,0,0,0,0,0.23533820725928,1
"Anabarilius andersoni",0,0,0,0,0,0.237036372420431,1
